Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
DATA 2014	DATA	2014	Int'l Conf. on Data Management Technologies and Applications	Vienna, Austria
DaWaK 2014	DaWaK	2014	16th International Conference on Data Warehousing and Knowledge Discovery	Munich, Germany
AECM 2014	AECM	2014	Workshop on Applied Enterprise Content Management	Munich, Germany
Cloud-I@IS 2013	Cloud-I@IS	2013	Information Sciences special issue on Cloud Intelligence	N/A
VLDB 2014	VLDB	2014	40th International Conference on Very Large Data Bases	Hangzhou, China
DC @ Baltic DB&IS 2014	DC @ Baltic DB&IS	2014	Call for PhD Consortium - 11th International Baltic Conference on DB and IS, DB&IS2014 / June 9, 2014, Tallinn, ESTONIA	Tallinn, Estonia
Baltic DB&IS 2014	Baltic DB&IS	2014	The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	Tallinn, ESTONIA
IUPT 2014	IUPT	2014	The 4th International Symposium on Internet of Ubiquitous and Pervasive Things	Hasselt, Belgium
DILS 2014	DILS	2014	10th International Conference on Data Integration in the Life Sciences	Lisbon, Portugal
SYRCoDIS 2014	SYRCoDIS	2014	The 10th Spring Researchers Colloquium on Databases and Information Systems	Veliky Novgorod, Russia
ADC 2014	ADC	2014	The 25th Australasian Database Conference	Brisbane, Australia
MDM 2014	MDM	2014	15th IEEE International Conference on Mobile Data Management	Brisbane, Australia
iCICS 2014	iCICS	2014	The 5th IEEE International Conference on Information and Communication Systems	Irbid, Jordan
Graph-TA 2014	Graph-TA	2014	Workshop on Graph-based Technologies and Applications	Barcelona
DEOS 2014	DEOS	2014	4th Workshop on Data Extraction and Object Search	Seoul, South Korea
BDAS 2014	BDAS	2014	10th IEEE International Conference Beyond Databases, Architectures and Structures	Ustron, Poland
DNIS 2014	DNIS	2014	9th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
DMC 2014	DMC	2014	International Workshop on Data Management in the Cloud	Chicago, IL, United States of America
EnDM 2014	EnDM	2014	3rd International Workshop on Energy Data Management	Athens, Greece
LWDM 2014	LWDM	2014	4th International Workshop on Linked Web Data Management	Athens, Greece
PODS 2014	PODS	2014	33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	Snowbird, Utah, USA
GraphQ 2014	GraphQ	2014	The Third International Workshop on Querying Graph Structured Data	Athens, Greece
NTMS 2014	NTMS	2014	Sixth IFIP International Conference on New Technologies, Mobility and Security	Dubai, UAE
SMDB 2014	SMDB	2014	9th International Workshop on Self-Managing Database Systems	Chicago IL, USA
CloudDB 2014	CloudDB	2014	The 6th International workshop on Cloud Data Management	Chicago, IL USA
PAKDD (Tutorial) 2014	PAKDD (Tutorial)	2014	PAKDD 2014: CALL FOR TUTORIAL PROPOSALS	Tainan, Taiwan
ExData CiSE 2014	ExData CiSE	2014	Special Issue on Extreme Data, Computing inScience & Engineering	N/A
GDM 2014	GDM	2014	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Chicago, IL, USA
EDBT/ICDT Tutorials 2014	EDBT/ICDT Tutorials	2014	EDBT/ICDT 2014 Call for Tutorials	Athens, Greece
DMS 2013	DMS	2013	Fifth International conference on Database Management Systems	Zurich, Switzerland
EDBT 2014	EDBT	2014	International Conference on Extending Database Technology	Athens, Greece
DBDBD 2013	DBDBD	2013	The Dutch-Belgian Database Day	Rotterdam, Netherlands
SITIS 2013	SITIS	2013	Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA	Kyoto Terrsa, Japan
FoIKS 2014	FoIKS	2014	Eighth International Symposium on Foundations of Information and Knowledge Systems	Bordeaux, France
ICECIT 2013	ICECIT	2013	International Conference on Emerging Computation & Information Technologies	Tumkur
DaEng 2013	DaEng	2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	Kuala Lumpur, Malaysia
APCCM 2014	APCCM	2014	Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland
APCCM 2013	APCCM	2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	Adelaide, South Australia, Australia
COMAD 2013	COMAD	2013	19th International Conference on Management of Data	Ahmedabad, India
ICIA 2013	ICIA	2013	The Second International Conference on Informatics and Applications	Lodz, Poland
TIDM 2013	TIDM	2013	The First International Workshop on TeraScale In-Core Data Mining	Dallas, Texas
BiDaDA 2013	BiDaDA	2013	1st Workshop on Biological Data mining and Database Applications	Dallas, Texas, USA
SIN 2013	SIN	2013	The 6th International Conference on Security of Information and Networks (SIN 2013)	Aksaray, Turkey
EDBT/ICDT Workshops 2014	EDBT/ICDT Workshops	2014	EDBT/ICDT 2014 Call for Workshop Proposals	Athens, Greece
ICDE 2014	ICDE	2014	IEEE International Conference on Data Engineering	Chicago, USA
SoCC 2013	SoCC	2013	ACM Symposium on Cloud Computing	San Jose, CA
BDSAV 2013	BDSAV	2013	The 1st International Workshop on Big Data Storage, Analytics, and Visualization	Washington D.C., United States
CloudDB 2013	CloudDB	2013	The Fifth International workshop on Cloud Data Management	San Franciso
RWVW 2013	RWVW	2013	International Workshop on Predicting Real World Behaviors from Virtual World Data	Boston, MA, USA
DOLAP 2013	DOLAP	2013	16th International Workshop on Data Warehousing and OLAP	Burlingame, CA, USA
NoCoDA 2013	NoCoDA	2013	2nd Intl Workshop on Non-Conventional Data-Access	San Francisco, CA, USA
DiPP 2013	DiPP	2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	Veliko Tarnovo, Bulgaria
Cloud-I 2013	Cloud-I	2013	2nd International Workshop on Cloud Intelligence	Riva del Garda, Trento, Italy
DBPL 2013	DBPL	2013	14th International Symposium on Database Programming Languages	Trento, Italy
DBCrowd 2013	DBCrowd	2013	First VLDB Workshop on Databases and Crowdsourcing	Riva del Garda, Italy
PersDB 2013	PersDB	2013	The 7th International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Riva del Garda, Trento, Italy
QDB 2013	QDB	2013	11th International Workshop on Quality in DataBases	Trento, Italy
BIRTE 2013	BIRTE	2013	Seventh International Workshop on Real-Time Business Intelligence	Trento, Italy
IDEAS 2013	IDEAS	2013	17th International Database Engineering & Applications Symposium	Barcelona
DAB 2013	DAB	2013	2nd International Workshop on Data and Artifact-Centric BPM	Beijing, China
DIM 2013	DIM	2013	The Second IEEE International Workshop on Data Integration and Mining	San Francisco, USA
ISWC-InUse 2013	ISWC-InUse	2013	The 12th International Semantic Web Conference - In Use Track	Sydney, Australia
ODBASE 2013	ODBASE	2013	The 12th International Conference on Ontologies, DataBases, and Applications of Semantics	Graz, Austria
CLTM 2013	CLTM	2013	LATIN-AMERICAN MASTER THESIS CONTEST	Naiguatá, VENEZUELA
CIESC 2013	CIESC	2013	XXI Iberoamerican Congress on Higher Education in Computing	Naiguatá, VENEZUELA
CLEI 2013	CLEI	2013	XXXIX Conferencia Latinoamericana en Informática	Naiguatá, VENEZUELA
CLEI 2013	CLEI	2013	XXXIX Latin-American Conference on Computer Sciences	Naiguatá, VENEZUELA
BiDaTA 2013	BiDaTA	2013	Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
CSE 2013	CSE	2013	The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
ICDIM 2013	ICDIM	2013	Eighth International Conference on Digital Information Management	Islamabad
RSmeetDB 2013	RSmeetDB	2013	3rd Workshop on Recommender Systems meet Databases	Prague, Czech Republic
MEDI 2013	MEDI	2013	Third International Conference On Model and Data Engineering	Amantea, Calabria, Italy
SoEA4EE 2013	SoEA4EE	2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SEBD 2013	SEBD	2013	21th Italian Symposium on Advanced Database Systems	Roccella Jonica (RC) - ITALY
IMDM 2013	IMDM	2013	First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
GRADES 2013	GRADES	2013	Graph Data-management Experiences and Systems	New York, NY, USA
SI-MCS 2013	SI-MCS	2013	CFP: Mathematics in Computer Science, Special Issue on Mathematics, Data and Knowledge	Mathematics in Computer Science
CPS 2013	CPS	2013	Special Session on Cooperative Problem Solving	Craiova, Romania
MobiDE 2013	MobiDE	2013	12th International ACM Workshop on Data Engineering for Wireless and Mobile Access	New York, USA
DEXA 2013	DEXA	2013	24th International Conference on Database and Expert Systems Applications	Prague, Czech Republik
DaWaK 2013	DaWaK	2013	15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
DBSocial 2013	DBSocial	2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	New York, NY, USA
DaMoN 2013	DaMoN	2013	Ninth International Workshop on Data Management on New Hardware	New York, NY, USA
SWEET 2013	SWEET	2013	2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	New York, NY, USA
WOD 2013	WOD	2013	2nd International Workshop on Open Data	Paris, France
WebDB 2013	WebDB	2013	16th International Workshop on the Web and Databases	New York, NY, USA
DEOS 2013	DEOS	2013	Workshop on Data Extraction and Object Search	Oxford, United Kingdom
DyNetMM 2013	DyNetMM	2013	First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	New York, USA
VLDB 2013	VLDB	2013	International Conference on Very Large Data Bases	Lago Di Garda, Trento, Italy
SSTD 2013	SSTD	2013	13th International Symposium on Spatial and Temporal Databases	Munich, Germany
miproBIS 2013	miproBIS	2013	Business Intelligence Systems	Opatija, Croatia
DILS 2013	DILS	2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	Montreal, Quebec, Canada
iCICS 2013	iCICS	2013	The 4th International Conference on Information and Communication Systems	Irbid, Jordan
BNCOD 2013	BNCOD	2013	29th British National Conference on Databases	University of Oxford, United Kingdom
AMW 2013	AMW	2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	Puebla/Cholula, Mexico
ICWS 2013	ICWS	2013	IEEE 20th International Conference on Web Services	Santa Clara, CA, USA
SYRCoDIS 2013	SYRCoDIS	2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
DMC 2013 at BTW 2013	DMC 2013 at BTW	2013	1st Workshop on Data Management in the Cloud	Magdeburg, Germany
BDAS 2013	BDAS	2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
PAIS 2013	PAIS	2013	6th International Workshop on Privacy and Anonymity in the Information Society	Genoa, Italy
DaMEN 2013	DaMEN	2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
GraphQ 2013	GraphQ	2013	The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
EnDM 2013	EnDM	2013	Workshop on Energy Data Management at EDBT	Genoa, Italy
EnDM@EDBT 2013	EnDM@EDBT	2013	Workshop on Energy Data Management	Genoa, Italy
BEWEB 2013	BEWEB	2013	4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BIGProv 2013	BIGProv	2013	International Workshop on Managing and Querying Provenance Data at Scale	Genova, Italy
PODS 2013	PODS	2013	32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	New York, New York, USA
DNIS 2013	DNIS	2013	8th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
BDI 2013	BDI	2013	International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
SMDB 2013	SMDB	2013	8th International Workshop on Self-Managing Database Systems	Brisbane, Australia
SIGMOD 2013	SIGMOD	2013	ACM SIGMOD International Conference on Management of Data	New York
ACIIDS 2013	ACIIDS	2013	Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
SIPIJ 2012	SIPIJ	2012	Signal & Image Processing : An International Journal	N/A
DASFAA 2013	DASFAA	2013	The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
PrivDB 2013	PrivDB	2013	First International Workshop on Privacy-Preserving Data Publication and Analysis	Brisbane, Australia
CICCI 2013	CICCI	2013	2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
EDBT 2013	EDBT	2013	International Conference on Extending Database Technology	Genoa, Italy
DBDBD 2012	DBDBD	2012	The Dutch Belgian Database Day	Brussels, Belgium
GDM 2013	GDM	2013	The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
ASIIS (ACM SAC) 2013	ASIIS (ACM SAC)	2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ACM - DTTA Track 2013	ACM - DTTA Track	2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track	Coimbra, Portugal
NetSys PhD Forum 2013	NetSys PhD Forum	2013	The Conference on Networked Systems PhD Forum	Stuttgart, Germany
PDAC 2012	PDAC	2012	3rd International Workshop on Petascale Data Analytics: Challenges and Opportunities	Salt Lake City, Utah, USA
ICDT 2013	ICDT	2013	16th International Conference on Database Theory	Genoa, Italy
COMAD 2012	COMAD	2012	18th International Conference on Management of Data	Pune, India
CIDR 2013	CIDR	2013	6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	Asilomar, California
CSE 2012	CSE	2012	The 15th IEEE International Conference on Computational Science and Engineering	Paphos, Cyprus
C-Big 2012	C-Big	2012	International Workshop on Collaborative Big Data	Pittsburgh, PA, USA
CDMW 2012	CDMW	2012	City Data Management Workshop 2012 in conj. with CIKM 2012	Maui, Hawaii USA
ICDE 2013	ICDE	2013	29TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING	Brisbane, Australia
Oriental COCOSDA 2012	Oriental COCOSDA	2012	International Conference on Speech Database and Assessments	Macau, China
ICE-B 2012	ICE-B	2012	International Conference on e-Business	Rome, Italy
INTECH 2012	INTECH	2012	The Second International Conference on Innovative Computing Technology	Rabat
CloudDB 2012	CloudDB	2012	The Fourth International Workshop on Cloud Data Management	Maui, Hawaii, USA
WISE 2012	WISE	2012	The 13th International Conference on Web Information System Engineering	Paphos, Cyprus
SoDAC 2012	SoDAC	2012	INNS Symposium on Data Analytics and Competitions	Bangkok, Thailand
SOCC 2012	SOCC	2012	ACM Symposium on Cloud Computing	San Jose, CA
CIKM Posters 2012	CIKM Posters	2012	Posters: 21st ACM International Conference on Information and Knowledge Management	Maui, USA
BIRTE 2012	BIRTE	2012	VLDB12 Workshop on Real-Time Business Intelligence	Istanbul, Turkey
BIGDATA 2012	BIGDATA	2012	Workshop on End-to-End Management of Big Data	Istanbul, Turkey
NISTBigData 2012	NISTBigData	2012	NIST Big Data Workshop	Gaithersburg, MD USA
QDB 2012	QDB	2012	10th International Workshop on Quality in DataBases	Istanbul, Turkey
SBBD 2012	SBBD	2012	27th Brazilian Symposium on Database	São Paulo, Brazil
ECAI AIL 2012	ECAI AIL	2012	Workshop on Active and Incremental Learning	Montpellier, France
IASIM 2012	IASIM	2012	Special Session on Intelligent Agents & Simulation	Rome, Italy
CIKM 2012	CIKM	2012	21st ACM International Conference on Information and Knowledge Management	Maui, USA
CIKM 2012	CIKM	2012	21st ACM International Conference on Information and Knowledge Management	Maui, U.S.A
SDM 2012	SDM	2012	9th VLDB Workshop on Secure Data Management	Istanbul, Turkey
EDB 2012	EDB	2012	The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory	Seoul, Korea
IDEAS 2012	IDEAS	2012	16th International Database Engineering & Applications Symposium	Prague,
SOMOCO 2012	SOMOCO	2012	International Workshop on SOcial and MObile COmputing for collaborative environments	Rome, Italy
PersDB 2012	PersDB	2012	Sixth International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Istanbul, Turkey
DBRank 2012	DBRank	2012	Sixth International Workshop on Ranking in Databases	Instabul, Turkey
MDDE 2012	MDDE	2012	The First International Workshop on Multimedia Databases and Data Engineering	Istanbul, Turkey
MCSD 2012	MCSD	2012	Mining Complex and Stream Data, MCSD 12	Poznan, Poland
MDSP 2012	MDSP	2012	The 1st International Workshop on Massive Data Storage and Processing	Harbin, China
NIMD 2012	NIMD	2012	Networking Implantable Medical Devices	Rome, Italy
ECDM 2012	ECDM	2012	Sixth International Workshop On Evolution And Change In Data Management	Florence, Italy
SUM 2012	SUM	2012	Sixth International Conference on Scalable Uncertainty Management	Marburg, Germany
XMLDM 2012	XMLDM	2012	The Third International Workshop on XML Data Management	Harbin, China
CISIM 2012	CISIM	2012	11th International Conference on Computer Information Systems and Industrial Management Applications	Venice, Italy
JISBD 2012	JISBD	2012	XVII Jornadas de Ingeniería del Software y Bases de Datos	Almería, Spain
DATA 2012	DATA	2012	International Conference on Data Technologies and Applications	Rome, Italy
DIM 2012	DIM	2012	IEEE International Workshop on Data Integration and Mining	Las Vegas, Nevada, USA
DBLM 2012	DBLM	2012	International Workshop on Database Technology for Life Sciences and Medicine	Vienna, Austria
MEDI 2012	MEDI	2012	2nd International Conference On Model and Data Engineering	Poitiers, Futuroscope, France
HDMS 2012	HDMS	2012	2012 The Hellenic Data Management Symposium	Chania, Crete, Greece
MORE-BI 2012	MORE-BI	2012	2nd Int. Workshop on Modeling and Reasoning for Business Intelligence (MORE-BI 2012) at ER 2012	Florence, Italy
SEBD 2012	SEBD	2012	20th Italian Symposium on Advanced Database Systems	Venice, Italy
DaWaK 2012	DaWaK	2012	14th International Conference on Data Warehousing and Knowledge Discovery	Vienna, Austria
SISAP 2012	SISAP	2012	5th International Conference on Similarity Search and Applications	Toronto, Canada
RSmeetDB 2012	RSmeetDB	2012	2nd Workshop on Recommender Systems meet Databases	Vienna, Austria
BalticDB&IS 2012	BalticDB&IS	2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
DBSocial 2012	DBSocial	2012	Second ACM SIGMOD Workshop on Databases and Social Networks	Scottsdale, AZ, United States
DBTest 2012	DBTest	2012	Fifth International Workshop on Testing Database Systems	Scottsdale, Arizona, USA
SYRCoDIS 2012	SYRCoDIS	2012	The Eighth Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
WebDB 2012	WebDB	2012	15th International Workshop on the Web and Databases	Scottsdale, AZ, USA
WOD 2012	WOD	2012	First International Workshop on Open Data	Nantes, France
WOD 2012	WOD	2012	First International Workshop on Open Data (DEADLINE EXTENDED to MARCH 8th)	Nantes, France
AMW 2012	AMW	2012	6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	Ouro Preto, Brazil
DCNET 2012	DCNET	2012	International Conference on Data Communication Networking (DCNET)	Rome, Italy
DCNET 2012	DCNET	2012	International Conference on Data Communication Networking	Rome, Italy
BalticDB&IS 2012	BalticDB&IS	2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
VLDB 2012	VLDB	2012	38th International Conference on Very Large Databases	Istanbul, Turkey
DATA 2012	DATA	2012	International Conference on Data Technologies and Applications (DATA)	Rome, Italy
MobiDE 2012	MobiDE	2012	11th International ACM Workshop on Data Engineering for Wireless and Mobile Access	Scottsdale, Arizona, USA
VAST 2012	VAST	2012	2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification	Montreal, Canada
SSDBM 2012	SSDBM	2012	24th International Conference on Scientific and Statistical Database Management	Chania, Crete, Greece
SSDBM 2012	SSDBM	2012	24th International Conference on SCIENTIFIC and Statistical Database Management	Chania, Crete, Greece
BDAS 2012	BDAS	2012	Bazy Danych - Aplikacje i Systemy	Ustron, Poland
NEDB Summit 2012	NEDB Summit	2012	Fifth Annual New England Database Summit	Cambridge, MA, USA
FlashDB 2012	FlashDB	2012	The Second International Workshop on Flash-based Database Systems	Busan, South Korea
MDM 2012	MDM	2012	13th IEEE International Conference on Mobile Data Management	Bangalore, India
KES-IDT 2012	KES-IDT	2012	4th KES International Conference on Intelligent Decision Technologies	Gifu, Japan
PODS 2012	PODS	2012	31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems	Scottsdale, Arizona, USA
AIKED 2012	AIKED	2012	11th WSEAS International Conference on ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING and DATA BASES	Cambridge. UK
SMDB 2012	SMDB	2012	Seventh International Workshop on Self-Managing Database Systems	Washington DC, USA
DMC 2012	DMC	2012	The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
DBDBD 2011	DBDBD	2011	The Dutch Belgian Database Day	University of Twente, The Netherlands
SIGMOD 2012	SIGMOD	2012	2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, Arizona, USA
SDMSM 2012	SDMSM	2012	ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012	STIR	2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012	GDM	2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012	HIS	2012	The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012	DBKDA	2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island
ISCI 2012	ISCI	2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
D-CLOUD 2011	D-CLOUD	2011	The 2011 International Workshop on Data Cloud	Hong Kong
COMNET SI on GreenNets 2011	COMNET SI on GreenNets	2011	COMNET Special Issue on “Green Communication Networks”	N/A
ACIIDS 2012	ACIIDS	2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011	XLDB	2011	5th Extremely Large Databases Conference	Menlo Park, CA
ADC 2012	ADC	2012	Australasian Database Conference	Melbourne, Australia
HPCDB 2011	HPCDB	2011	1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
DNIS 2011	DNIS	2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
COMAD 2011	COMAD	2011	The 17th International Conference on Management of Data	Bangalore, Karnataka, India
OrdRing 2011	OrdRing	2011	First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011	DDDM	2011	The 5th International Workshop on Domain Driven Data Mining	Vancouver, Canada
ICDT 2012	ICDT	2012	15th International Conference on Database Theory	Berlin, Germany
DDDM 2011	DDDM	2011	CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011	UOII	2011	Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012	VDA	2012	Conference on Visualization and Data Analysis	Burlingame, CA
IDEAS '11D 2011	IDEAS '11D	2011	15th International Database Engineering & Applications Symposium	Lisbon
DOLAP 2011	DOLAP	2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
CAIA 2011	CAIA	2011	Context Aware Intelligent Assistance	Berlin, Germany
FDML 2011	FDML	2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011	Oriental COCOSDA	2011	International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CloudDB 2011	CloudDB	2011	Third International Workshop on Cloud Data Management	Glasgow, Scotland, U.K.
QoS-Workshop 2011	QoS-Workshop	2011	The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing China
DBPL 2011	DBPL	2011	The 13th International Symposium on Database Programming Languages	Seattle, USA
DBRank 2011	DBRank	2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
VLDS 2011	VLDS	2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, United States
QDB 2011	QDB	2011	9th International Workshop on Quality in Databases	Seattle, WA, USA
CMS 2011	CMS	2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011	EDB	2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011	TPCTC	2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, WA
IDEAS 2011	IDEAS	2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon
WOD - Summer School 2011	WOD - Summer School	2011	WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
CIKM 2011	CIKM	2011	20th ACM International Conference on Information and Knowledge Management	Glasgow, Scotland, UK
CIKM 2011	CIKM	2011	20th ACM Conference on Information and Knowledge Management	Glasgow, Scotland, UK
TC4SP 2011	TC4SP	2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011	KEOD	2011	Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011	CECIIS	2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011	SUM	2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, Ohio
DBLM 2011	DBLM	2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011	SDM	2011	8th VLDB Workshop on Secure Data Management	Seattle, WA, USA
RSmeetDBs 2011	RSmeetDBs	2011	Recommender Systems meet Databases	Toulouse
exploreWeb 2011	exploreWeb	2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
JISBD 2011	JISBD	2011	XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruña, Spain
HDMS 2011	HDMS	2011	10th Hellenic Data Management Symposium	Athens, Greece
DocEng 2011	DocEng	2011	ACM Symposium on Document Engineering	Mountain View, CA, USA
TLAD 2011	TLAD	2011	9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
Globe 2011	Globe	2011	4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GeoDBIS 2011	GeoDBIS	2011	1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
TaPP 2011	TaPP	2011	3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
Balisage 2011	Balisage	2011	Balisage: The Markup Conference	Montréal, Canada
DBSocial 2011	DBSocial	2011	ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
ADBIS 2011	ADBIS	2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
GID 2011	GID	2011	First ADBIS workshop on GPUs In Databases	Vienna, Austria
DaMoN 2011	DaMoN	2011	Seventh International Workshop on Data Management on New Hardware	Athens, Greece
MobiDE 2011	MobiDE	2011	10th ACM International Workshop on Data Engineering for Wireless and Mobile Access	Athens, Greece
DBTest 2011	DBTest	2011	4th International Workshop on Testing Database Systems	Athens, Greece
SEBD 2011	SEBD	2011	19th Italian Symposium on Advanced Database Systems	Maratea, Italy
DaWaK 2011	DaWaK	2011	13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
IDAR 2011	IDAR	2011	SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
DEXA 2011	DEXA	2011	Database and Expert Systems Applications	Toulouse, France
MIMIC 2011	MIMIC	2011	Fifth International Workshop on Management and Interaction with Multimodal Information Content	Toulose, France
E-LKR 2011	E-LKR	2011	1st International Workshop on Exploiting Large Knowledge Repositories	Toulouse, France
SOTM-EU 2011	SOTM-EU	2011	1st State of the Map - Europe Conference	Vienna, Austria
DALI 2011	DALI	2011	Data, Logic and Inconsistency	Toulouse, France
IKE 2011	IKE	2011	The 2011 International Conference on Information and Knowledge Engineering	Las Vegas, Nevada
EIDWT 2011	EIDWT	2011	The 2nd International Conference on Emerging Intelligent Data and Web Technologies	Tirana, Albania
SYRCoDIS 2011	SYRCoDIS	2011	The Seventh Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
VLDB 2011	VLDB	2011	The 37th International Conference on Very Large Data Bases	Seattle, WA
Tutorials and Workshops@ECML/PKDD 2011	Tutorials and Workshops@ECML/PKDD	2011	Joint call for tutorials and workshops ECML/PKDD 2011	Athens, Greece
EDA 2011	EDA	2011	7th French-speaking workshop on Data Warehousing and On-line Analysis	Clermont-Ferrand, France
SSTD 2011	SSTD	2011	International Symposium on Spatial and Temporal Databases	Minneapolis, MN, USA
AMW 2011	AMW	2011	5th Alberto Mendelzon Workshop on Foundations of Data Management	Santiago, Chile
